                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.4244,                 1.1928,                 1.4083,                0.48937,                0.58748,                0.49646,                0.36691,                0.91869,                  1.455,                 1.2256,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.4247,                 1.1934,                 1.4078,                0.49139,                0.58438,                0.49598,                0.36661,                0.91627,                 1.4584,                 1.2242,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.4249,                 1.1935,                 1.4091,                0.49258,                0.58121,                0.49601,                0.36697,                0.91583,                 1.4592,                 1.2242,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.4239,                 1.1927,                 1.4076,                0.49334,                0.58129,                0.49666,                0.36718,                0.91573,                 1.4597,                 1.2239,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.4224,                 1.1917,                 1.4084,                0.49191,                0.58086,                0.49709,                0.36758,                0.91623,                 1.4621,                 1.2248,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.4233,                 1.1912,                 1.4056,                0.49078,                0.58212,                0.49754,                0.36815,                0.91522,                 1.4611,                 1.2243,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.4238,                 1.1925,                 1.4064,                0.49171,                0.58166,                0.49728,                0.36809,                0.91464,                 1.4583,                 1.2236,               0.009109,               0.009109,               0.009109
                     92,                 1.4249,                 1.1922,                 1.4066,                0.49225,                0.58257,                0.49817,                0.36826,                 0.9156,                 1.4538,                  1.224,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.4239,                  1.193,                 1.4061,                 0.4886,                0.58814,                0.49782,                0.36772,                0.91646,                 1.4533,                 1.2251,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.4224,                 1.1917,                 1.4079,                0.49687,                0.57948,                0.49748,                0.36746,                0.91721,                 1.4525,                 1.2261,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.4222,                 1.1934,                 1.4093,                0.49509,                 0.5791,                0.49753,                0.36773,                0.91561,                 1.4511,                 1.2253,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.4239,                 1.1911,                 1.4071,                0.49333,                0.58076,                 0.4964,                0.36663,                0.91786,                 1.4536,                 1.2264,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.4218,                 1.1908,                 1.4056,                 0.4917,                0.58204,                0.49713,                0.36721,                0.91672,                 1.4542,                 1.2255,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.4218,                 1.1898,                 1.4054,                0.49103,                 0.5834,                0.49587,                0.36606,                0.91534,                 1.4575,                 1.2243,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.4243,                 1.1912,                 1.4075,                0.49621,                0.57473,                0.49527,                 0.3656,                0.91598,                   1.46,                 1.2249,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.4218,                 1.1918,                 1.4065,                 0.4888,                0.58513,                0.49653,                0.36692,                0.91457,                 1.4593,                 1.2234,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.4228,                 1.1899,                 1.4075,                0.49268,                 0.5834,                0.49466,                0.36579,                0.91566,                 1.4627,                 1.2246,                0.00901,                0.00901,                0.00901
                    102,                 1.4231,                 1.1902,                 1.4053,                0.49355,                0.57812,                0.49351,                0.36485,                0.91787,                  1.467,                 1.2255,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.4212,                 1.1881,                  1.406,                0.49306,                 0.5812,                0.49424,                0.36525,                0.91677,                 1.4664,                 1.2249,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.4212,                 1.1898,                 1.4038,                0.49541,                0.58106,                0.49429,                0.36502,                0.91704,                 1.4634,                 1.2249,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.4221,                 1.1905,                 1.4067,                0.49487,                0.58181,                0.49408,                0.36503,                0.91613,                  1.461,                  1.225,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.4213,                 1.1908,                 1.4068,                0.49642,                0.57835,                0.49371,                0.36466,                 0.9153,                  1.462,                 1.2245,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.4206,                 1.1902,                 1.4071,                0.49397,                0.58498,                0.49493,                0.36524,                0.91564,                  1.459,                 1.2242,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.4219,                 1.1904,                 1.4073,                0.49273,                0.58287,                0.49342,                0.36391,                0.91776,                  1.462,                 1.2257,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.4211,                  1.188,                 1.4051,                0.49193,                0.58445,                0.49393,                0.36403,                0.91607,                 1.4632,                  1.224,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.4202,                 1.1864,                 1.4036,                0.49581,                0.57955,                0.49557,                0.36551,                0.91578,                 1.4606,                 1.2238,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.4197,                 1.1897,                 1.4039,                0.49349,                0.58448,                0.49522,                0.36545,                0.91429,                 1.4612,                 1.2224,               0.008911,               0.008911,               0.008911
                    112,                 1.4213,                 1.1901,                 1.4051,                0.49417,                0.58114,                0.49558,                0.36633,                0.91314,                 1.4605,                 1.2223,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.4215,                 1.1883,                 1.4021,                0.49881,                0.57918,                 0.4966,                0.36706,                0.91201,                 1.4578,                  1.221,              0.0088912,              0.0088912,              0.0088912
                    114,                  1.422,                 1.1882,                  1.404,                0.49917,                0.58117,                0.49606,                 0.3663,                0.91179,                 1.4632,                 1.2202,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.4222,                  1.188,                 1.4043,                0.49938,                0.57466,                0.49622,                0.36666,                0.91239,                 1.4642,                 1.2203,              0.0088714,              0.0088714,              0.0088714
